,i,x_med,y_med,at_med,quality_flag,bathy_conf,sat_flag,sat_check,n_photons,surf_prom,surf_loc,surf_std,decay_param,trans_mult,noise_above,noise_below,bathy_prom,bathy_loc,bathy_std,surf_prom_f,surf_loc_f,surf_std_f,decay_param_f,trans_mult_f,noise_above_f,noise_below_f,bathy_prom_f,bathy_loc_f,bathy_std_f,turb_score
48,48,-75.50788550266296,35.31013985011204,16142648.626780652,3,1.0736145660595693,0,False,935,126.3959178481204,0.7389148386162144,0.32031158601228593,-0.13186137715955873,2.275908933159973,0.63650641576753,1e-31,1.8895674993818363,29.05174637145976,0.4546271683330632,,,,,,,,,,,285.9708836948357
49,49,-75.50820093171968,35.30806715522592,16142880.27428853,3,1.0,0,False,1051,150.57791917228846,0.7224133859309307,0.34212082611615413,-0.12119920464495733,2.4055828735798226,0.7278686551988051,1e-31,1.6039317569185538,27.1022577235648,0.5109621779469636,,,,,,,,,,,275.9838339377858
50,50,-75.50855685925214,35.30578759463785,16143135.116996884,3,1.0275396777544459,0,False,1106,158.65539076479612,0.8055940673213662,0.3335413054973338,-0.10474197802248053,2.452469863605962,0.7300750078189232,1e-31,2.019820076995846,48.82255981325536,0.7612599194188328,,,,,,,,,,,301.4660610420191
51,51,-75.50889732552676,35.3035940370447,16143380.311650442,3,1.2241669648378481,0,False,951,111.62556621592972,0.7710596575655225,0.34082667647879406,-0.07715829741915417,2.5203426236310085,0.9136836092007943,1e-31,1.1353062952254205,13.181699977047488,0.14817321811795925,,,,,,,,,,,233.5850934895138
52,52,-75.50923767053152,35.30136535127862,16143629.381942708,3,1.1535200383979645,0,False,938,117.42106341605262,0.5855502218365747,0.335470219495798,-0.08859463910483174,2.444330233641713,0.543158195399603,1e-31,2.3214199822366113,13.968669570329666,0.11802318017866502,,,,,,,,,,,261.4586851432025
53,53,-75.50960513645202,35.29904606661863,16143888.727349386,3,1.1444336324506164,0,False,838,71.61658584654306,0.7264414457147464,0.36172357687435225,-0.053496624278872154,2.576553090770024,0.7712485401746023,1e-31,1.8241921356934416,31.51746526939164,0.847201691776517,,,,,,,,,,,178.18814691238657
54,54,-75.50994043333367,35.29682196195715,16144137.275034823,3,1.022672443372635,0,False,991,115.16063051564808,0.7098312306889647,0.334075982617831,-0.09981414492688723,2.3527581774687225,0.9977936473798821,1e-31,0.5633488377980095,16.949698068037947,0.32757256073748897,,,,,,,,,,,287.4242885566896
55,55,-75.51029191655391,35.29462883816247,16144382.50001267,3,1.37536265938511,0,False,1030,148.7224645887306,0.7484573183011223,0.3098248535254442,-0.12805148332327587,2.3174383585758243,0.9147854676181252,1e-31,6.157015055310796,30.240834933403534,0.003601864865403273,,,,,,,,,,,314.8482374118018
56,56,-75.51063112557539,35.29240715811233,16144630.80569694,3,1.0729967962229936,0,False,989,139.68984034536197,0.7374769648519449,0.3361163085399736,-0.1175758961971626,2.278973023735032,0.5227931187979578,1e-31,1.3587997989721625,13.772523797230528,0.06510996667285728,,,,,,,,,,,353.032630439917
57,57,-75.51099661188005,35.29013376657277,16144885.062723339,3,1.1388823071427914,0,False,968,139.33605409018287,0.7925073518991822,0.33293542488787337,-0.0940098949071563,2.5290189540015784,0.707723950280626,1e-31,2.0114442183200936,42.7076020027212,0.424816352199048,,,,,,,,,,,236.965628998028
58,58,-75.51134041922984,35.28794562587418,16145129.683102494,3,1.237386316091181,0,False,1090,139.87079047594128,0.7486814727089227,0.35949046226420167,-0.10714155461222698,2.4729446072108714,0.7493382260032375,1e-31,2.1919586244866487,22.33655565285388,0.17178635338214057,,,,,,,,,,,241.07865057513126
59,59,-75.51170643741517,35.285623334976876,16145389.377527762,3,1.1191733865591778,0,False,1013,104.48230554265024,0.761002850592237,0.3190707172034105,-0.07138360502045203,2.5292198766254406,0.7495585976867036,1e-31,1.514669154738183,23.436687240481493,0.17315032304307573,,,,,,,,,,,232.6412409195746
60,60,-75.51204983859337,35.283455823583495,16145631.705232011,3,1.1132132179831673,0,False,1003,62.08854582868314,0.7705722581991021,0.32213708330758967,-0.075097416742931,2.2102391711299934,1.0205867661778398,1e-31,2.1210731651411736,42.78857445012482,0.6153937748600566,,,,,,,,,,,279.6055230651499
61,61,-75.51241791403245,35.28116942793442,16145887.43749557,3,1.0097568223770663,0,False,961,84.77784827357411,0.6221340733828841,0.32366283130688,-0.07339139105983002,2.4222738114054665,0.977648942461703,1e-31,1.632125521858346,47.25998391004729,0.838725153670186,,,,,,,,,,,237.17610003203964
62,62,-75.5127744077127,35.27895155676815,16146135.35637107,3,1.0185183686559474,0,False,924,98.67042236750532,0.7578781090126422,0.34458163284791926,-0.074880197261185,2.5480174109787943,0.7173555593727832,1e-31,1.6031862483498214,31.73175819029391,0.6858661345042049,,,,,,,,,,,197.91683618136994
63,63,-75.51314050622827,35.27670482827676,16146386.750263833,3,1.1489709083298592,0,False,1060,143.3273196118768,0.7395897229961649,0.3290615574138468,-0.13372338595175087,2.2792088079032506,0.7173555593727832,1e-31,2.0449521786727427,31.549245919277904,0.25646633111327527,,,,,,,,,,,318.31635876958
64,64,-75.51351234537401,35.27441808168183,16146642.421149718,3,1.0088324430012472,0,False,1108,168.6198380768791,0.6277378050833438,0.32224958457515834,-0.11551531115066835,2.4856509933317947,0.5438193104500015,1e-31,1.6040013537918847,20.322653346400685,0.1439866144232603,,,,,,,,,,,262.72312608185325
65,65,-75.51386986733456,35.27223699561809,16146886.436243791,3,1.533675593094809,0,False,1107,168.17691889327543,0.730921614052713,0.32142892813858454,-0.09461131563098267,2.594663787200947,0.707723950280626,1e-31,0.9653057122837548,9.903925057891536,0.04207772551066636,,,,,,,,,,,244.45943257947306
66,66,-75.51423850660915,35.27000782156429,16147135.860390047,3,1.0843799069434392,0,False,1091,142.85343410393583,0.6575702619536363,0.34249558234642485,-0.13168559621069204,2.2949201114220017,0.77080779680767,1e-31,2.004407154046328,46.87198914227573,0.591260335004302,,,,,,,,,,,308.8825589294743
67,67,-75.51460044787986,35.267786322444806,16147384.331870656,3,1.1497831046421971,0,False,1134,175.11465437197455,0.6658870018212049,0.31387879102635396,-0.1095035007932424,2.4372465482568066,0.7072832069136936,1e-31,1.9371541660128357,40.10720931369334,0.29270762104747167,,,,,,,,,,,324.0506158314112
